name,time,percantage,words
Anna-Lena Drafke,00:00:03,1.1%,14
Daniel Wittwer,00:00:08,2.8%,23
Dominik Mönig,00:00:26,9.1%,95
Hauptgefreiter Bakali,00:00:13,4.5%,34
Jerome Demelius,00:00:05,1.9%,29
Leon von Garrel,00:00:09,3.1%,28
Marcel Figule,00:00:00,0%,1
Marvin Baunach,00:00:05,2%,11
Matrose Martin,00:00:01,0.4%,3
Matrosein Schang,00:00:04,1.6%,24
Nathan Palme,00:00:03,1.1%,11
Oberbootsmann Knoll,00:01:27,30%,208
Obermaat Scholwin,00:00:00,0.1%,2
Oberbootsmann Müller,00:00:01,0.5%,8
Oberbootsmann Sowa,00:00:29,10%,44
Sebastian Arendt,00:00:02,1%,10
Stabsgefreiter Neubert,00:01:30,30.9%,275
